rank,domain,company_name,country,sector
101,airport-city.co.il,"Airport City Ltd","Israel","Other"
102,airtasker.com,"Airtasker","Australia","Other"
103,airthings.com,"AirThings","Norway","Other"
104,aisin.com,"Aisin Seiki","Japan","Transportation & Logistics"
105,shiroki.co.jp,"Aisin Shiroki Corporation","Japan","Other"
106,wamc.co.kr,"Ajin","South Korea","Other"
107,ajinomoto.co.jp,"Ajinomoto","Japan","Other"
108,akashainternational.com,"Akasha Wira International","Indonesia","Other"
109,akenerji.com.tr,"Akenerji Elektrik Üretim","Turkey","Other"
110,sushiro.co.th,"Akindo Sushiro","Japan","Retail & E-commerce"
111,akr.co.id,"AKR Corporindo","Indonesia","Energy & Utilities"
112,carpets.com,"Al Abdullatif Industrial Investment Co.","Saudi Arabia","Other"
113,bankalbilad.com,"Al Bilad Bank","Saudi Arabia","Banking & Finance"
114,alhammadiinvest.com,"Al Hammadi Company for Development and Investment","Saudi Arabia","Other"
115,shaker.com.sa,"Al Hassan Ghazi Ibrahim Shaker Co.","Saudi Arabia","Other"
116,joufcem.com.sa,"Al Jouf Cement Co.","Saudi Arabia","Other"
117,alsagr.com,"Al Sagr Cooperative Insurance Co.","Saudi Arabia","Insurance"
118,al-sorayai.com,"Al Sorayai Trading and Industrial Group","Saudi Arabia","Other"
119,yamamahsteel.com,"Al Yamamah Steel Industries Co.","Saudi Arabia","Other"
120,alahlia.com.sa,"Al-Ahlia Insurance Co.","Saudi Arabia","Insurance"
121,al-babtain.com.sa,"Al-Babtain Power & Telecom Co","Saudi Arabia","Other"
122,aljouf.com.sa,"Al-Jouf Agricultural Development Co.","Saudi Arabia","Other"
123,alahlitakaful.com,"Alahli Takaful Co.","Saudi Arabia","Insurance"
124,alamsuterarealty.co.id,"Alam Sutera","Indonesia","Critical Infrastructure"
125,adaro.com,"AlamTri Resources","Indonesia","Other"
126,albar.co.il,"Albar Mimunit Services Ltd","Israel","Other"
127,aldrees.com,"ALDREES Petroleum and Transport Services Company","Saudi Arabia","Energy & Utilities"
128,alembicpharmaceuticals.com,"Alembic Pharmaceuticals Ltd","India","Healthcare"
129,alfacentra.com,"Alfa Energi Investama","Indonesia","Energy & Utilities"
130,etrag.dz,"Algerian Tractors Company","Algeria","Other"
