rank,domain,company_name,country,sector
467,swissre.com,"Swiss Re","Switzerland","Insurance"
468,swisscom.ch,"Swisscom","Switzerland","Telecommunications"
469,swisscom.ch,"Swisscom","Switzerland","Telecommunications"
470,symrise.com,"Symrise","Germany","Materials & Chemicals"
471,talanx.com,"Talanx","Germany","Insurance"
472,tateandlyle.co.uk,"Tate & Lyle","United Kingdom","Retail & Consumer"
473,tateandlyle.co.uk,"Tate & Lyle","United Kingdom","Retail & Consumer"
474,taylorwimpey.co.uk,"Taylor Wimpey","United Kingdom","Retail & Consumer"
475,taylorwimpey.co.uk,"Taylor Wimpey","United Kingdom","Retail & Consumer"
476,taylorwimpey.co.uk,"Taylor Wimpey","United Kingdom","Retail & Consumer"
477,teamviewer.com,"TeamViewer","Germany","Technology"
478,technipfmc.com,"TechnipFMC","United Kingdom","Energy & Utilities"
479,tele2.com,"Tele2","Sweden","Telecommunications"
480,tele2.com,"Tele2","Sweden","Telecommunications"
481,gruppotim.it,"Telecom Italia","Italy","Telecommunications"
482,telecomplus.co.uk,"Telecom Plus","United Kingdom","Telecommunications"
483,telefonica.com,"Telefónica","Spain","Telecommunications"
484,telefonica.com,"Telefónica","Spain","Telecommunications"
485,telenor.com,"Telenor","Norway","Telecommunications"
486,teleperformance.com,"Teleperformance","France","Transportation & Logistics"
487,teliacompany.com,"Telia Company","Sweden","Telecommunications"
488,temenos.com,"Temenos Group","Switzerland","Technology"
489,tenaris.com,"Tenaris","Luxembourg","Energy & Utilities"
490,tescoplc.com,"Tesco","United Kingdom","Other"
491,tescoplc.com,"Tesco","United Kingdom","Other"
492,tescoplc.com,"Tesco","United Kingdom","Other"
493,tevapharm.com,"Teva Pharmaceutical Industries","Israel","Healthcare"
494,thalesgroup.com,"Thales Group","France","Transportation & Logistics"
495,thyssenkrupp.com,"ThyssenKrupp","Germany","Transportation & Logistics"
496,tomra.com,"Tomra","Norway","Transportation & Logistics"
497,tomtom.com,"TomTom","Netherlands","Technology"
498,totalenergies.com,"TotalEnergies","France","Energy & Utilities"
499,deepwater.com,"Transocean","Switzerland","Energy & Utilities"
500,traton.com,"Traton","Germany","Transportation & Logistics"
501,travisperkinsplc.co.uk,"Travis Perkins","United Kingdom","Other"
502,trelleborg.com,"Trelleborg AB","Sweden","Transportation & Logistics"
503,tryg.com,"Tryg","Denmark","Insurance"
504,tuigroup.com,"TUI Group","Germany","Other"
505,ubisoft.com,"Ubisoft","France","Retail & Consumer"
506,ubs.com,"UBS Group","Switzerland","Banking & Finance"
507,umicore.com,"Umicore","Belgium","Materials & Chemicals"
508,urw.com,"Unibail-Rodamco-Westfield","France","Real Estate & Infrastructure"
509,unicreditgroup.eu,"UniCredit","Italy","Banking & Finance"
510,unilever.com,"Unilever","United Kingdom","Other"
511,unilever.com,"Unilever","United Kingdom","Other"
512,uniper.energy,"Uniper","Germany","Energy & Utilities"
513,unitegroup.com,"Unite Group","United Kingdom","Real Estate & Infrastructure"
514,unitedutilities.com,"United Utilities","United Kingdom","Energy & Utilities"
515,unitedutilities.com,"United Utilities","United Kingdom","Energy & Utilities"
516,universalmusic.com,"Universal Music Group","Netherlands","Media & Entertainment"
517,upm.com,"UPM (company)","Finland","Materials & Chemicals"
518,upm.com,"UPM (company)","Finland","Materials & Chemicals"
519,valeo.com,"Valeo","France","Other"
520,vallourec.com,"Vallourec","France","Materials & Chemicals"
521,valmet.com,"Valmet","Finland","Transportation & Logistics"
522,vatvalve.com,"VAT Group","Switzerland","Transportation & Logistics"
523,veolia.com,"Veolia","France","Energy & Utilities"
524,veolia.com,"Veolia","France","Energy & Utilities"
525,verbund.com,"Verbund","Austria","Energy & Utilities"
526,vestas.com,"Vestas","Denmark","Energy & Utilities"
527,vestas.com,"Vestas Wind Systems","Denmark","Energy & Utilities"
528,viaplaygroup.com,"Viaplay Group","Sweden","Media & Entertainment"
529,vig.com,"Vienna Insurance Group","Austria","Insurance"
530,vinci.com,"Vinci SA","France","Other"
531,vitrolife.com,"Vitrolife","Sweden","Healthcare"
532,vivendi.com,"Vivendi","France","Media & Entertainment"
533,vivendi.com,"Vivendi","France","Media & Entertainment"
534,vodafone.com,"Vodafone","United Kingdom","Telecommunications"
535,vodafone.com,"Vodafone Group","United Kingdom","Telecommunications"
536,voestalpine.com,"Voestalpine","Austria","Materials & Chemicals"
537,volvogroup.com,"Volvo Group","Sweden","Transportation & Logistics"
538,volvogroup.com,"Volvo Group","Sweden","Transportation & Logistics"
539,vonovia.de,"Vonovia","Germany","Real Estate & Infrastructure"
540,vonovia.de,"Vonovia","Germany","Real Estate & Infrastructure"
541,vopak.com,"Vopak","Netherlands","Transportation & Logistics"
542,wdp.eu,"Warehouses De Pauw","Belgium","Real Estate & Infrastructure"
543,weir.co.uk,"Weir Group","United Kingdom","Transportation & Logistics"
544,weir.co.uk,"Weir Group","United Kingdom","Transportation & Logistics"
545,whitbread.co.uk,"Whitbread","United Kingdom","Other"
546,whitbread.co.uk,"Whitbread","United Kingdom","Other"
547,wienerberger.com,"Wienerberger","Austria","Other"
548,wihlborgs.dk,"Wihlborgs Fastigheter","Sweden","Real Estate & Infrastructure"
549,wolterskluwer.com,"Wolters Kluwer","Netherlands","Media & Entertainment"
550,worldline.com,"Worldline","France","Transportation & Logistics"
551,wpp.com,"WPP plc","United Kingdom","Media & Entertainment"
552,wpp.com,"WPP plc","United Kingdom","Media & Entertainment"
553,yara.com,"Yara International","Norway","Materials & Chemicals"
554,corporate.zalando.com,"Zalando","Germany","Other"
555,zurich.com,"Zurich Insurance Group","Switzerland","Insurance"
556,zurich.com,"Zurich Insurance Group","Switzerland","Insurance"
